,R通道一阶矩,R通道二阶矩,R通道三阶矩,G通道一阶矩,G通道二阶矩,G通道三阶矩,B通道一阶矩,B通道二阶矩,B通道三阶矩,序号,类别
36,0.6065756862745096,0.009100187170379952,0.0014698521461722074,0.5462243137254902,0.006694654239495131,0.00109130735252151,0.2971396078431372,0.009711070619647301,0.001575717702214997,42,1
37,0.6065756862745096,0.009100187170379952,0.0014698521461722074,0.5462243137254902,0.006694654239495131,0.00109130735252151,0.2971396078431372,0.009711070619647301,0.001575717702214997,43,1
38,0.6079411764705881,0.008409341942792182,0.001366707539705362,0.5723145098039214,0.006580321998270509,0.0010812079519028474,0.25749294117647054,0.010595041755647855,0.001733050669729063,44,1
39,0.59188,0.008854425767428151,0.0014289716015236105,0.5351156862745097,0.006308157025597277,0.001035946908745832,0.2646411764705882,0.010364615929220247,0.0017048115703002663,45,1
40,0.6077207843137253,0.008444428159194332,0.0013543005351445113,0.54926431372549,0.006310322112796114,0.0010366213099699396,0.2695129411764705,0.009416350484122331,0.001559417072791034,46,1
41,0.5991576470588235,0.008734858121642767,0.001248670687041638,0.57552431372549,0.005448686652401959,0.0007614652662860826,0.25337411764705886,0.011006559744125302,0.0015564645689644335,47,1
42,0.6402317647058823,0.008286458420608803,0.0011597228201890417,0.6231117647058821,0.005379497081553437,0.0007519787249072435,0.29654235294117637,0.0164748851117805,0.0022528687551658494,48,1
43,0.6447909803921568,0.009698150305017758,0.001371524716765857,0.6233329411764704,0.005997551711178333,0.0008420322089815678,0.2847694117647059,0.011098868922078547,0.001573019119434943,49,1
44,0.5980376470588233,0.010504534704860968,0.0016983357561130166,0.5181576470588234,0.007540074109063223,0.0012128027085754158,0.2786345098039215,0.010611823224915818,0.0017081538178816587,5,1
45,0.599215294117647,0.008680106684649738,0.001206352425995677,0.5619647058823528,0.005534275430145888,0.0007716982643959624,0.2677662745098039,0.011738779170300183,0.0016570210277919858,50,1
46,0.5614843137254901,0.009642305340922445,0.0019757876810733957,0.5760294117647058,0.006877456221260582,0.0013965278280078002,0.23666431372549024,0.011205617062373593,0.0022623375616795103,51,1
47,0.6509666666666667,0.008817067568500144,0.0014208550373463792,0.5768482352941176,0.006679832800583609,0.0010807368557079415,0.3360435294117647,0.009429134943074154,0.0015306052033224422,6,1
48,0.6084803921568626,0.009077303745663803,0.0014635220140002817,0.5681321568627449,0.006682505187900179,0.0011051071370284393,0.2549105882352941,0.010787660913712246,0.001752623792666183,7,1
49,0.613465882352941,0.008942567452861696,0.0014483776470128051,0.5671356862745097,0.006784309010538981,0.001111699161753461,0.26728745098039214,0.012682404543530654,0.0020040425990933424,8,1
50,0.609175294117647,0.008256093165415297,0.0013223219059477244,0.5558568627450979,0.006199685906890635,0.0010234136539536472,0.23208313725490198,0.010268795417347506,0.0016378470579266097,9,1
51,0.49510313725490196,0.011403708705567919,0.002386263093258993,0.5393411764705882,0.00988684616184889,0.0023339597301518917,0.4161305882352942,0.014839219370517305,0.0030367323592770702,1,2
52,0.571032156862745,0.008743590620102775,0.0014124690690363736,0.5624388235294117,0.00631007127231898,0.0010336267724609526,0.421324705882353,0.009180601684503256,0.0014927352505013903,10,2
53,0.49542156862745096,0.010552695438005627,0.0015297391446407547,0.48760823529411773,0.008665186627239507,0.001312396576619244,0.2701011764705882,0.016433466271211422,0.002379773218230779,11,2
54,0.5472125490196078,0.008802382816748848,0.0014320521610827472,0.5030862745098038,0.0068282956083515105,0.0011071387266869267,0.2883243137254901,0.00961727005317326,0.0015608038630084968,12,2
55,0.4711407843137255,0.019116931988637932,0.003839298685868976,0.49110901960784314,0.017114133529759344,0.0034216370569915633,0.321196862745098,0.02711543182365842,0.0054771909871458345,13,2
56,0.45618627450980404,0.013122581064512208,0.00264653212674037,0.4807098039215687,0.010005026802691146,0.002038934878052589,0.3270203921568627,0.011898031434588431,0.002427083243635483,14,2
57,0.49992941176470584,0.009431414128969525,0.0013184742064388248,0.4878788235294118,0.0055021399353109126,0.0007664949696410087,0.34258470588235285,0.011032193768530592,0.001548241331636571,15,2
58,0.5593203921568627,0.036102921592050384,0.004673570751455752,0.5432086274509804,0.032125156238690056,0.004123328327358327,0.35971607843137254,0.04072892132779791,0.005295676547828422,16,2
59,0.5551964705882352,0.0076356475843941465,0.001043297356890621,0.5707933333333332,0.00499729216949511,0.000702636525822144,0.316175294117647,0.008825402772806934,0.0012568622615224316,17,2
60,0.5556211764705882,0.006615913428693203,0.0009363586104342795,0.5791701960784312,0.005109648079726688,0.0007152290411181914,0.3311682352941176,0.010862451748003344,0.0014985461259171364,18,2
61,0.5512729411764705,0.007184539383389888,0.0010058630903916619,0.5711768627450979,0.0049815808215603365,0.0006961754735287254,0.3164286274509804,0.009360124269261846,0.001319266344750035,19,2
62,0.46517411764705896,0.01385437728426076,0.0032910093407805723,0.5086509803921568,0.012797998209483179,0.0031861103135076467,0.3610474509803921,0.019858011006981605,0.00454541077413231,2,2
63,0.4792658823529412,0.008491003140557002,0.0014033203324413995,0.5281505882352941,0.006967793698123364,0.0011634402022345125,0.33443607843137246,0.0119164892171881,0.001911511072443901,20,2
64,0.4849717647058824,0.00845045097290795,0.0011890852453780522,0.5060066666666667,0.006259657802277587,0.0008769830479105387,0.34706941176470585,0.009548027254471668,0.0013790705952030303,21,2
65,0.4849666666666667,0.009057446419390975,0.0012486125906633872,0.5278266666666667,0.006455028660038787,0.000893042789340385,0.3828701960784314,0.009723278045377105,0.0013696527248337933,22,2
66,0.46274705882352946,0.008426081102908243,0.0011805257419383061,0.48251254901960783,0.0065536481354373805,0.0009114905652134915,0.3245094117647058,0.009771987197837211,0.0014002034520063705,23,2
67,0.44778392156862756,0.007775900021586774,0.001085507635352048,0.48060313725490195,0.005872809984708653,0.0008242813693547578,0.32259882352941177,0.009576088950337455,0.0013546052304618387,24,2
68,0.5495596078431372,0.011769893437993178,0.0016367567916482299,0.5414901960784313,0.008954067075117202,0.0012422482542803455,0.3115603921568627,0.013073997890398299,0.0017897521780418882,25,2
69,0.4701325490196079,0.02211121362420908,0.004371936182716505,0.4841823529411765,0.020796251750968435,0.004057648301531234,0.28358627450980395,0.018800880880325832,0.0036872932333972073,26,2
70,0.5597301960784312,0.014242663549175402,0.0028244126990764093,0.5695831372549018,0.010879586512881477,0.002145157258305155,0.3305560784313725,0.008269446234342635,0.001701360888869544,27,2
